table_name,column_name,ordinal_position,data_type,udt_name,is_nullable,column_default
agent_actions,id,1,uuid,uuid,NO,gen_random_uuid()
agent_actions,tenant_id,2,uuid,uuid,NO,
agent_actions,agent_id,3,uuid,uuid,YES,
agent_actions,session_id,4,uuid,uuid,YES,
agent_actions,task_id,5,uuid,uuid,YES,
agent_actions,action_type,6,character varying,varchar,NO,
agent_actions,payload,7,jsonb,jsonb,NO,'{}'::jsonb
agent_actions,result,8,jsonb,jsonb,YES,
agent_actions,status,9,character varying,varchar,NO,'completed'::character varying
agent_actions,created_at,10,timestamp with time zone,timestamptz,NO,now()
agent_analytics,id,1,uuid,uuid,NO,gen_random_uuid()
agent_analytics,tenant_id,2,uuid,uuid,NO,
agent_analytics,agent_id,3,uuid,uuid,YES,
agent_analytics,metrics,4,jsonb,jsonb,NO,'{}'::jsonb
agent_analytics,measured_at,5,timestamp with time zone,timestamptz,NO,now()
agent_analytics,created_at,6,timestamp with time zone,timestamptz,NO,now()
agent_confidence_scores,id,1,uuid,uuid,NO,gen_random_uuid()
agent_confidence_scores,tenant_id,2,uuid,uuid,NO,
agent_confidence_scores,agent_id,3,uuid,uuid,NO,
agent_confidence_scores,message_id,4,uuid,uuid,YES,
agent_confidence_scores,score,5,numeric,numeric,NO,
agent_confidence_scores,reasoning,6,text,text,YES,
agent_confidence_scores,created_at,7,timestamp with time zone,timestamptz,NO,now()
agent_errors,id,1,uuid,uuid,NO,gen_random_uuid()
agent_errors,tenant_id,2,uuid,uuid,NO,
agent_errors,agent_id,3,uuid,uuid,YES,
agent_errors,error_type,4,character varying,varchar,YES,
agent_errors,message,5,text,text,NO,
agent_errors,stack_trace,6,text,text,YES,
agent_errors,context,7,jsonb,jsonb,NO,'{}'::jsonb
agent_errors,created_at,8,timestamp with time zone,timestamptz,NO,now()
agent_feedback,id,1,uuid,uuid,NO,gen_random_uuid()
agent_feedback,tenant_id,2,uuid,uuid,NO,
agent_feedback,agent_id,3,uuid,uuid,NO,
agent_feedback,message_id,4,uuid,uuid,YES,
agent_feedback,rating,5,integer,int4,YES,
agent_feedback,feedback,6,text,text,YES,
agent_feedback,created_by,7,uuid,uuid,YES,
agent_feedback,created_at,8,timestamp with time zone,timestamptz,NO,now()
agent_learning_events,id,1,uuid,uuid,NO,gen_random_uuid()
agent_learning_events,tenant_id,2,uuid,uuid,NO,
agent_learning_events,agent_id,3,uuid,uuid,YES,
agent_learning_events,event_type,4,character varying,varchar,NO,
agent_learning_events,payload,5,jsonb,jsonb,NO,'{}'::jsonb
agent_learning_events,created_at,6,timestamp with time zone,timestamptz,NO,now()
agent_memories,id,1,uuid,uuid,NO,gen_random_uuid()
agent_memories,tenant_id,2,uuid,uuid,NO,
agent_memories,agent_id,3,uuid,uuid,NO,
agent_memories,customer_id,4,uuid,uuid,YES,
agent_memories,memory_type,5,character varying,varchar,NO,
agent_memories,content,6,text,text,NO,
agent_memories,vector_id,7,uuid,uuid,YES,
agent_memories,metadata,8,jsonb,jsonb,NO,'{}'::jsonb
agent_memories,expires_at,9,timestamp with time zone,timestamptz,YES,
agent_memories,created_at,10,timestamp with time zone,timestamptz,NO,now()
agent_memories,updated_at,11,timestamp with time zone,timestamptz,NO,now()
agent_plans,id,1,uuid,uuid,NO,gen_random_uuid()
agent_plans,tenant_id,2,uuid,uuid,NO,
agent_plans,agent_id,3,uuid,uuid,NO,
